master_term,master_term_id,yearmo,month_no,skill_pos_cnt,total_pos_cnt,loop_no
Business Intelligence,41,201712,48,642,76994,19
Data Entry Software,66,201708,44,229,123189,31
Cognos Impromptu,100,201605,29,0,89037,44
Junit,118,201905,65,944,140823,51
Sheet Metal Mechanic,206,201711,47,21,102152,86
Security Testing and Auditing,204,201704,40,227,104890,84
Risk and Compliance,193,201610,34,132,95676,77
After Effects,5,201604,28,55,91296,3
Data Entry Software,66,201904,64,2473,132847,31
The Raiser's Edge,37,201605,29,1,89037,17
Natural Language Processing,270,201610,34,53,95676,105
PostgreSQL,182,201610,34,221,95676,73
SAP,198,201502,14,1907,89734,80
Pipe Welding,180,201412,12,31,63051,72
Golang,91,201707,43,3,101309,43
Yardi,248,201502,14,4,89734,98
Sheet Metal Mechanic,206,201705,41,56,119820,86
T-SQL,232,201511,23,140,89588,92
Secret Security Clearance,276,201907,67,9,26524,107
Fireworks,8,201505,17,118,88049,5
Secret Security Clearance,276,201510,22,28,98076,107
SAS,201,201611,35,255,83334,81
ActionScript,4,201506,18,59,99253,2
EnterpriseOne,171,201401,1,4,33846,71
Golang,91,201605,29,0,89037,43
QuickBooks,109,201509,21,55,93766,49
Ruby on Rails,195,201808,56,70,149917,79
Linux  ,126,201808,56,3648,149917,54
Sheet Metal Mechanic,206,201405,5,24,31909,86
Fireworks,8,201902,62,9,107087,5
Outlook,142,201510,22,3001,98076,59
Django,71,201902,62,42,107087,34
ActionScript,4,201504,16,23,96803,2
Certified Credit Professional,44,201511,23,8,89588,22
SQL Server Reporting Services,148,201503,15,191,102726,61
Cognos Impromptu,100,201608,32,36,104211,44
QlikView,186,201404,4,5,33323,74
Crystal Reports,65,201803,51,44,121459,30
Sheet Metal Mechanic,206,201401,1,39,33846,86
Mergers and Acquisitions,135,201610,34,62,95676,57
InfoSphere DataStage,102,201706,42,56,112365,45
Computer Aided Design and Drafting,61,201811,59,47,111219,27
Security Testing and Auditing,204,201609,33,179,95325,84
Security Testing and Auditing,204,201403,3,40,32230,84
QlikView,186,201508,20,173,94594,74
Azure,251,201501,13,460,93237,99
Mastercam,58,201906,66,25,102962,26
Dreamweaver,7,201405,5,14,31909,4
Azure,251,201511,23,438,89588,99
Spring Boot,211,201507,19,4,97791,87
XHTML,246,201512,24,57,70310,97
Azure,251,201505,17,175,88049,99
GIS Software,89,201901,61,7,122037,42
VOIP,240,201806,54,247,122500,94
Financial Industry Regulatory Authority,86,201808,56,15,149917,41
Cost Accounting,63,201907,67,16,26524,29
Certified Financial Planner,45,201702,38,3,92181,23
Revit,33,201406,6,85,32800,13
Bash,35,201709,45,219,114349,15
Dynamics,138,201501,13,3701,93237,58
MIG Welding,154,201610,34,355,95676,64
Cognos Impromptu,100,201509,21,0,93766,44
SAS,201,201907,67,24,26524,81
QlikView,186,201904,64,68,132847,74
VBScript,149,201606,30,147,98515,62
Typescript,260,201409,9,1,104405,102
Drupal,73,201406,6,9,32800,36
Outlook,142,201610,34,2656,95676,59
CICS,55,201704,40,91,104890,25
Web Security and Encryption,242,201401,1,15,33846,96
ActionScript,4,201903,63,12,123132,2
Microstation,36,201511,23,68,89588,16
AEM Developer,266,201401,1,1,33846,104
ActiveX,2,201609,33,3,95325,1
Risk Analyst,192,201608,32,339,104211,76
TIG Welding,229,201803,51,301,121459,90
VPN,241,201803,51,570,121459,95
FileMaker Pro,85,201705,41,21,119820,40
Apache HTTP Server,20,201709,45,0,114349,8
FileMaker Pro,85,201708,44,4,123189,40
Dodd-Frank,72,201408,8,59,88809,35
Microstation,36,201412,12,86,63051,16
Financial Industry Regulatory Authority,86,201405,5,9,31909,41
Apache HTTP Server,20,201607,31,15,88166,8
Yardi,248,201505,17,5,88049,98
T-SQL,232,201502,14,78,89734,92
Outlook,142,201407,7,2280,68567,59
SolidWorks,259,201709,45,211,114349,101
Dynamics,138,201409,9,3874,104405,58
Visual Basic,238,201706,42,680,112365,93
Spring Boot,211,201410,10,49,106289,87
Golang,91,201412,12,1,63051,43
VOIP,240,201808,56,206,149917,94
KornShell,120,201801,49,51,115683,52
Natural Language Processing,270,201605,29,27,89037,105
ActionScript,4,201712,48,11,76994,2
Marketo,129,201511,23,26,89588,56
MicroStrategy,153,201510,22,180,98076,63
NoSQL,165,201608,32,214,104211,69
Data Entry Software,66,201408,8,294,88809,31
Secret Security Clearance,276,201407,7,29,68567,107
Golang,91,201401,1,0,33846,43
Visual Basic,238,201605,29,1188,89037,93
Natural Language Processing,270,201808,56,103,149917,105
Golang,91,201906,66,4,102962,43
SPSS Statistics,105,201708,44,65,123189,47
Security Risk Management,203,201412,12,54,63051,83
AutoCAD,31,201704,40,422,104890,12
Security Testing and Auditing,204,201602,26,78,87681,84
Dynamics,138,201807,55,3058,119017,58
Ruby on Rails,195,201812,60,109,82761,79
NetSuite ERP,161,201509,21,8,93766,67
ASP.NET,28,201903,63,869,123132,10
Security Risk Management,203,201712,48,5,76994,83
Financial Industry Regulatory Authority,86,201510,22,18,98076,41
Bash,35,201405,5,25,31909,15
ActiveX,2,201807,55,10,119017,1
XHTML,246,201612,36,8,62773,97
GIS Software,89,201404,4,3,33323,42
QlikView,186,201906,66,57,102962,74
GIS Software,89,201706,42,18,112365,42
Revit,33,201604,28,114,91296,13
Bash,35,201512,24,185,70310,15
ActiveX,2,201705,41,0,119820,1
SAP,198,201809,57,2433,114604,80
SQL Server,147,201401,1,361,33846,60
Deployment,69,201703,39,4225,110263,33
SAS,201,201512,24,457,70310,81
Bash,35,201411,11,197,77278,15
External Auditor,83,201904,64,36,132847,39
KornShell,120,201706,42,106,112365,52
Workforce Now,13,201808,56,7,149917,6
SQL Server Reporting Services,148,201608,32,142,104211,61
FileMaker Pro,85,201901,61,31,122037,40
Visual Basic,238,201811,59,398,111219,93
Revit,33,201701,37,260,93237,13
SPSS Statistics,105,201904,64,30,132847,47
Django,71,201708,44,16,123189,34
Junit,118,201807,55,427,119017,51
SQL Server,147,201504,16,1725,96803,60
Apache HTTP Server,20,201701,37,2,93237,8
Security Policies and Procedures,202,201706,42,69,112365,82
VBScript,149,201801,49,59,115683,62
AutoCAD,31,201710,46,599,128582,12
CICS,55,201407,7,55,68567,25
Security Policies and Procedures,202,201507,19,81,97791,82
Linux  ,126,201705,41,3174,119820,54
SQL Server Reporting Services,148,201809,57,155,114604,61
Microstation,36,201709,45,48,114349,16
Revit,33,201710,46,163,128582,13
Certified Financial Planner,45,201504,16,1,96803,23
The Raiser's Edge,37,201710,46,0,128582,17
Kubernetes,121,201501,13,0,93237,53
Visual Basic,238,201503,15,1504,102726,93
Dodd-Frank,72,201605,29,96,89037,35
SQL Server Reporting Services,148,201801,49,264,115683,61
Selenium,205,201806,54,604,122500,85
Bash,35,201607,31,313,88166,15
Certified Anti Money Laundering Specialist,43,201505,17,0,88049,21
T-SQL,232,201705,41,241,119820,92
Crystal Reports,65,201612,36,26,62773,30
Natural Language Processing,270,201904,64,121,132847,105
Mergers and Acquisitions,135,201412,12,7,63051,57
Junit,118,201602,26,250,87681,51
FileMaker Pro,85,201704,40,34,104890,40
T-SQL,232,201808,56,273,149917,92
Azure,251,201504,16,209,96803,99
MIG Welding,154,201906,66,458,102962,64
SolidWorks,259,201812,60,87,82761,101
IBM Notes,103,201407,7,0,68567,46
Dreamweaver,7,201504,16,101,96803,4
VOIP,240,201805,53,184,124699,94
The Raiser's Edge,37,201611,35,0,83334,17
Pipe Welding,180,201902,62,148,107087,72
Crystal Reports,65,201907,67,4,26524,30
Secret Security Clearance,276,201608,32,34,104211,107
MIG Welding,154,201810,58,701,138853,64
ActionScript,4,201612,36,3,62773,2
Security Risk Management,203,201710,46,17,128582,83
Cost Accounting,63,201811,59,26,111219,29
MIG Welding,154,201903,63,583,123132,64
CATIA,42,201605,29,47,89037,20
T-SQL,232,201503,15,152,102726,92
Minitab,156,201606,30,224,98515,65
Selenium,205,201609,33,674,95325,85
Crystal Reports,65,201805,53,55,124699,30
SAS,201,201404,4,54,33323,81
MicroStrategy,153,201806,54,95,122500,63
WildFly,190,201807,55,230,119017,75
Visual Basic,238,201905,65,572,140823,93
SAP,198,201402,2,409,27637,80
Spring Boot,211,201402,2,0,27637,87
Secret Security Clearance,276,201702,38,36,92181,107
CATIA,42,201612,36,23,62773,20
Microstation,36,201907,67,12,26524,16
Secret Security Clearance,276,201402,2,6,27637,107
Risk Analyst,192,201703,39,421,110263,76
Crystal Reports,65,201505,17,243,88049,30
Bash,35,201504,16,303,96803,15
Sheet Metal Mechanic,206,201510,22,15,98076,86
Azure,251,201606,30,435,98515,99
Content Strategy,62,201409,9,21,104405,28
Microstation,36,201708,44,52,123189,16
FileMaker Pro,85,201503,15,3,102726,40
Ruby,194,201410,10,397,106289,78
Blockchain,39,201604,28,0,91296,18
SAP,198,201508,20,1442,94594,80
Data Entry Software,66,201807,55,524,119017,31
Dreamweaver,7,201409,9,275,104405,4
Yardi,248,201803,51,7,121459,98
Azure,251,201901,61,1689,122037,99
SAP,198,201606,30,1960,98515,80
VPN,241,201511,23,330,89588,95
Computer Aided Design and Drafting,61,201712,48,30,76994,27
After Effects,5,201407,7,101,68567,3
Bash,35,201501,13,276,93237,15
GIS Software,89,201903,63,13,123132,42
NoSQL,165,201808,56,1119,149917,69
SketchUp Pro,230,201409,9,5,104405,91
Top Secret Security Clearance,274,201808,56,14,149917,106
Minitab,156,201607,31,105,88166,65
Sheet Metal Mechanic,206,201607,31,15,88166,86
End User Support,253,201602,26,243,87681,100
AWS Cloud,34,201412,12,24,63051,14
Mergers and Acquisitions,135,201808,56,39,149917,57
PostgreSQL,182,201401,1,24,33846,73
Top Secret Security Clearance,274,201610,34,17,95676,106
Top Secret Security Clearance,274,201404,4,0,33323,106
Web Security and Encryption,242,201804,52,8,119002,96
PostgreSQL,182,201701,37,103,93237,73
CICS,55,201504,16,124,96803,25
Risk Analyst,192,201609,33,458,95325,76
End User Support,253,201801,49,347,115683,100
Golang,91,201706,42,4,112365,43
CATIA,42,201801,49,36,115683,20
Microstation,36,201712,48,37,76994,16
Typescript,260,201404,4,2,33323,102
Ruby,194,201803,51,545,121459,78
Azure,251,201406,6,12,32800,99
Typescript,260,201811,59,145,111219,102
AEM Developer,266,201709,45,67,114349,104
T-SQL,232,201504,16,106,96803,92
IBM Notes,103,201704,40,1,104890,46
MIG Welding,154,201510,22,375,98076,64
ActiveX,2,201905,65,7,140823,1
Linux  ,126,201809,57,2208,114604,54
SolidWorks,259,201611,35,174,83334,101
Secret Security Clearance,276,201411,11,32,77278,107
NetSuite ERP,161,201501,13,14,93237,67
Certified Credit Professional,44,201506,18,39,99253,22
ActionScript,4,201811,59,0,111219,2
Drupal,73,201710,46,23,128582,36
Agile Development,14,201504,16,1292,96803,7
Business Intelligence,41,201607,31,429,88166,19
WildFly,190,201410,10,618,106289,75
Certified Anti Money Laundering Specialist,43,201406,6,0,32800,21
Top Secret Security Clearance,274,201804,52,8,119002,106
Security Risk Management,203,201812,60,3,82761,83
Dreamweaver,7,201809,57,14,114604,4
WildFly,190,201904,64,477,132847,75
Natural Language Processing,270,201804,52,112,119002,105
Apache HTTP Server,20,201411,11,1,77278,8
Security Policies and Procedures,202,201710,46,81,128582,82
Yardi,248,201501,13,3,93237,98
Certified Credit Professional,44,201503,15,32,102726,22
The Raiser's Edge,37,201609,33,0,95325,17
Azure,251,201907,67,119,26524,99
Content Strategy,62,201702,38,111,92181,28
JCL,113,201701,37,214,93237,50
Bash,35,201702,38,160,92181,15
Bash,35,201711,47,295,102152,15
Natural Language Processing,270,201401,1,0,33846,105
Top Secret Security Clearance,274,201805,53,2,124699,106
Business Intelligence,41,201501,13,812,93237,19
MySQL,158,201810,58,545,138853,66
IBM Notes,103,201410,10,1,106289,46
Visual Basic,238,201604,28,654,91296,93
Certified Financial Planner,45,201701,37,0,93237,23
Epic Systems,79,201803,51,643,121459,37
Deployment,69,201706,42,3839,112365,33
MySQL,158,201801,49,485,115683,66
ActiveX,2,201409,9,15,104405,1
Kubernetes,121,201403,3,0,32230,53
JCL,113,201707,43,303,101309,50
SQL Server Reporting Services,148,201904,64,516,132847,61
MicroStrategy,153,201804,52,118,119002,63
MIG Welding,154,201808,56,742,149917,64
Ruby,194,201409,9,278,104405,78
External Auditor,83,201409,9,29,104405,39
T-SQL,232,201707,43,19,101309,92
QuickBooks,109,201806,54,48,122500,49
Security Policies and Procedures,202,201501,13,119,93237,82
Crystal Reports,65,201804,52,87,119002,30
Epic Systems,79,201611,35,289,83334,37
Risk and Compliance,193,201511,23,66,89588,77
External Auditor,83,201404,4,13,33323,39
VBScript,149,201907,67,6,26524,62
Web Security and Encryption,242,201407,7,30,68567,96
SQL Server,147,201705,41,2008,119820,60
PostgreSQL,182,201709,45,209,114349,73
Workforce Now,13,201611,35,6,83334,6
CATIA,42,201501,13,61,93237,20
Computer Aided Design and Drafting,61,201812,60,72,82761,27
Secret Security Clearance,276,201802,50,54,109017,107
MySQL,158,201506,18,654,99253,66
VOIP,240,201511,23,142,89588,94
Outlook,142,201411,11,2343,77278,59
Certified Credit Professional,44,201707,43,9,101309,22
MySQL,158,201510,22,581,98076,66
Linux Scripting,127,201804,52,9,119002,55
Natural Language Processing,270,201403,3,4,32230,105
Junit,118,201809,57,220,114604,51
Switching and Routing,220,201905,65,240,140823,89
Bash,35,201412,12,490,63051,15
MIG Welding,154,201707,43,624,101309,64
Sheet Metal Mechanic,206,201807,55,78,119017,86
Ruby,194,201406,6,92,32800,78
QuickBooks,109,201902,62,41,107087,49
Cisco Application Centric Infrastructure,264,201603,27,0,100182,103
Deployment,69,201905,65,6338,140823,33
External Auditor,83,201810,58,87,138853,39
Revit,33,201808,56,167,149917,13
Pipe Welding,180,201905,65,88,140823,72
Drupal,73,201508,20,37,94594,36
VOIP,240,201905,65,131,140823,94
Workforce Now,13,201709,45,26,114349,6
SketchUp Pro,230,201405,5,6,31909,91
Ruby on Rails,195,201805,53,35,124699,79
SolidWorks,259,201906,66,240,102962,101
SQL Server Reporting Services,148,201906,66,91,102962,61
Content Strategy,62,201503,15,17,102726,28
Computer Aided Design and Drafting,61,201701,37,139,93237,27
Stata,214,201806,54,0,122500,88
AEM Developer,266,201407,7,0,68567,104
Visual Basic,238,201701,37,442,93237,93
SketchUp Pro,230,201512,24,24,70310,91
FileMaker Pro,85,201709,45,8,114349,40
Mergers and Acquisitions,135,201512,24,92,70310,57
Secret Security Clearance,276,201505,17,153,88049,107
Revit,33,201707,43,159,101309,13
Computer Aided Design and Drafting,61,201902,62,154,107087,27
ASP.NET,28,201410,10,541,106289,10
Internal Auditor,108,201511,23,33,89588,48
MIG Welding,154,201705,41,635,119820,64
ActiveX,2,201707,43,0,101309,1
External Auditor,83,201601,25,69,88469,39
Workforce Now,13,201901,61,3,122037,6
GIS Software,89,201904,64,8,132847,42
Django,71,201704,40,32,104890,34
CICS,55,201906,66,75,102962,25
Junit,118,201904,64,1067,132847,51
Azure,251,201809,57,1077,114604,99
SQL Server Reporting Services,148,201502,14,347,89734,61
Yardi,248,201407,7,1,68567,98
Linux  ,126,201601,25,2748,88469,54
Mastercam,58,201601,25,25,88469,26
FileMaker Pro,85,201802,50,3,109017,40
WildFly,190,201601,25,244,88469,75
Dynamics,138,201511,23,3051,89588,58
Golang,91,201612,36,2,62773,43
Epic Systems,79,201709,45,297,114349,37
FileMaker Pro,85,201701,37,2,93237,40
Revit,33,201607,31,135,88166,13
AutoCAD,31,201511,23,461,89588,12
InfoSphere DataStage,102,201511,23,58,89588,45
ASP.NET,28,201502,14,770,89734,10
Ruby,194,201407,7,307,68567,78
Financial Industry Regulatory Authority,86,201801,49,48,115683,41
Marketo,129,201410,10,3,106289,56
Blockchain,39,201807,55,4,119017,18
Typescript,260,201608,32,21,104211,102
Dynamics,138,201803,51,2657,121459,58
WildFly,190,201602,26,183,87681,75
Deployment,69,201505,17,3525,88049,33
Top Secret Security Clearance,274,201801,49,5,115683,106
Content Strategy,62,201603,27,110,100182,28
VBScript,149,201602,26,157,87681,62
T-SQL,232,201712,48,116,76994,92
Agile Development,14,201510,22,1486,98076,7
Data Entry Software,66,201507,19,297,97791,31
Solr,22,201511,23,26,89588,9
Cost Accounting,63,201502,14,134,89734,29
QuickBooks,109,201612,36,30,62773,49
KornShell,120,201802,50,11,109017,52
Certified Anti Money Laundering Specialist,43,201605,29,0,89037,21
SPSS Statistics,105,201402,2,1,27637,47
FileMaker Pro,85,201905,65,2,140823,40
Content Strategy,62,201903,63,156,123132,28
Minitab,156,201711,47,7,102152,65
Outlook,142,201804,52,3839,119002,59
Epic Systems,79,201502,14,206,89734,37
Natural Language Processing,270,201411,11,4,77278,105
FileMaker Pro,85,201902,62,3,107087,40
Marketo,129,201409,9,2,104405,56
Sheet Metal Mechanic,206,201809,57,84,114604,86
Cognos Impromptu,100,201904,64,55,132847,44
Chatbot,53,201701,37,1,93237,24
Linux Scripting,127,201506,18,3,99253,55
After Effects,5,201711,47,8,102152,3
Mastercam,58,201512,24,16,70310,26
SPSS Statistics,105,201812,60,77,82761,47
Solr,22,201401,1,3,33846,9
MIG Welding,154,201612,36,267,62773,64
CATIA,42,201409,9,49,104405,20
Natural Language Processing,270,201603,27,65,100182,105
GIS Software,89,201806,54,2,122500,42
CATIA,42,201611,35,32,83334,20
Golang,91,201603,27,17,100182,43
Linux  ,126,201603,27,2669,100182,54
Computer Aided Design and Drafting,61,201509,21,30,93766,27
Risk Analyst,192,201804,52,552,119002,76
Solr,22,201806,54,40,122500,9
IBM Notes,103,201904,64,1,132847,46
Risk and Compliance,193,201411,11,340,77278,77
T-SQL,232,201509,21,59,93766,92
MicroStrategy,153,201607,31,13,88166,63
Security Policies and Procedures,202,201812,60,99,82761,82
Typescript,260,201803,51,90,121459,102
Certified Financial Planner,45,201510,22,0,98076,23
Visual Basic,238,201704,40,777,104890,93
Cisco Application Centric Infrastructure,264,201801,49,4,115683,103
Mergers and Acquisitions,135,201904,64,113,132847,57
Top Secret Security Clearance,274,201812,60,3,82761,106
Risk and Compliance,193,201904,64,361,132847,77
CICS,55,201406,6,10,32800,25
Sheet Metal Mechanic,206,201903,63,94,123132,86
WildFly,190,201611,35,248,83334,75
Online Analytical Processing,166,201805,53,58,124699,70
Network Support,163,201503,15,87,102726,68
Ruby,194,201504,16,801,96803,78
Drupal,73,201610,34,15,95676,36
Cognos Impromptu,100,201610,34,0,95676,44
Minitab,156,201510,22,49,98076,65
Typescript,260,201904,64,300,132847,102
Selenium,205,201801,49,388,115683,85
Django,71,201805,53,88,124699,34
CATIA,42,201805,53,30,124699,20
External Auditor,83,201901,61,141,122037,39
PostgreSQL,182,201409,9,138,104405,73
Outlook,142,201509,21,3326,93766,59
SolidWorks,259,201807,55,174,119017,101
External Auditor,83,201610,34,31,95676,39
MIG Welding,154,201404,4,425,33323,64
XHTML,246,201812,60,54,82761,97
Solr,22,201808,56,81,149917,9
After Effects,5,201412,12,45,63051,3
CICS,55,201709,45,104,114349,25
Dodd-Frank,72,201504,16,119,96803,35
Typescript,260,201503,15,6,102726,102
Switching and Routing,220,201602,26,99,87681,89
Switching and Routing,220,201906,66,153,102962,89
Kubernetes,121,201506,18,62,99253,53
Minitab,156,201707,43,178,101309,65
MIG Welding,154,201401,1,459,33846,64
Crystal Reports,65,201801,49,38,115683,30
JCL,113,201807,55,165,119017,50
TIG Welding,229,201802,50,268,109017,90
Junit,118,201611,35,172,83334,51
